name,image_url,location,Acceptance,GRE
Carnegie Mellon University,https://www.cmu.edu/brand/brand-guidelines/images/seal-4c-600x600-min.jpg,"Pittsburgh, Pennsylvania, USA",10-15%  ,315-330  
University of Maryland - College Park,https://umd-brand.transforms.svdcdn.com/production/uploads/images/logos-formal-seal.jpg?w=1801&h=1801&auto=compress%2Cformat&fit=crop&dm=1651267392&s=81a14f930f7888983f0f8bc10146c0b2,"College Park, Maryland, USA",20-25%  ,310-325  
University of Virginia,https://brand.virginia.edu/sites/uva_brand/files/2023-07/73_UVALogo_800x800.jpg,"Charlottesville, Virginia, USA",15-20%  ,315-325  
Arizona State University,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Arizona_State_University_logo.svg/2560px-Arizona_State_University_logo.svg.png,"Tempe, Arizona, USA  ",50-60%  ,305-320  
Pennsylvania State University,https://brand.psu.edu/images/backgrounds/veritcal-1-mark_registered.png,"University Park, Pennsylvania, USA  ",35-45%  ,310-325  
University of Southern California,https://identity.usc.edu/wp-content/uploads/2022/10/Regular_seal_v3.png,"Los Angeles, California, USA  ",15-20%  ,315-330  
Univ. of Illinois at Urbana-Champaign,https://news.illinois.edu/files/6367/543635/116641.jpg,"Champaign, Illinois, USA  ",15-20%  ,320-335  
Georgia Institute of Technology,https://brand.gatech.edu/sites/default/files/inline-images/extended-RGB.png,"Atlanta, Georgia, USA  ",15-20%  ,320-335  
Massachusetts Institute of Technology,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/MIT_Seal.svg/1200px-MIT_Seal.svg.png,"Cambridge, Massachusetts, USA  ",6-10%  ,325-340  
Rutgers University,https://camden.rutgers.edu/html/lp/images/RUC_logo.png,"New Brunswick, New Jersey, USA  ",30-40%  ,310-325  
Univ. of California - Los Angeles,https://tethys.pnnl.gov/sites/default/files/styles/captioned_400xauto/public/taxonomy-images/ucla-logo.png?itok=gL1W_feN,"Los Angeles, California, USA  ",15-20%  ,320-335  
Univ. of California - San Diego,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Seal_of_the_University_of_California%2C_San_Diego.svg/1200px-Seal_of_the_University_of_California%2C_San_Diego.svg.png,"San Diego, California, USA  ",20-25%  ,320-335  
University of Illinois at Chicago,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064902363519,"Chicago, Illinois, USA  ",40-50%  ,300-315  
University of Michigan,https://umdearborn.edu/sites/default/files/inline-images/logo-spread%20copy_0.png,"Ann Arbor, Michigan, USA  ",20-25%  ,320-335  
Northeastern University,https://climatech2024.advertisingweek.com/images/userfiles/ClimaTech24/Logos/Northeastern-University-Logo.png,"Boston, Massachusetts, USA  ",15-20%  ,310-325  
Northwestern University,https://www.northwestern.edu/brand/images/nu-horizontal.jpg,"Evanston, Illinois, USA  ",10-15%  ,320-335  
Rochester Institute of Technology,https://upload.wikimedia.org/wikipedia/commons/4/49/Rochester_Institute_of_Technology_Seal_%282018%29.svg,"Rochester, New York, USA  ",45-55%  ,300-315  
Washington University in St. Louis,https://source.washu.edu/app/uploads/2024/08/WashU-RGB-600x400-1.jpg,"St. Louis, Missouri, USA  ",25-30%  ,315-330  
University of Notre Dame,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/University_of_Notre_Dame_seal_%282%29.svg/1200px-University_of_Notre_Dame_seal_%282%29.svg.png,"Notre Dame, Indiana, USA  ",20-25%  ,320-335  
Rice University,https://www.pvamu.edu/wp-content/uploads/2021/06/rice-university-logo.jpg,"Houston, Texas, USA  ",12-18%  ,325-340  
University of Central Florida,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Seal_of_the_University_of_Central_Florida.svg/1200px-Seal_of_the_University_of_Central_Florida.svg.png,"Orlando, Florida, USA  ",45-50%  ,305-320  
Harvard University,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Harvard_University_coat_of_arms.svg/1200px-Harvard_University_coat_of_arms.svg.png,"Cambridge, Massachusetts, USA  ",6-10%  ,325-340  
North Carolina State University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/860px-North_Carolina_State_University_Athletic_logo.svg.png,"Raleigh, North Carolina, USA  ",25-30%  ,310-325  
